"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"9","333589345226939","12.2106","1.03351","-6.71498","0","0","0","-0.119233","0.954601","-0.272983","0.311198","0.297021","0.902737","0.942836","0.0226839","-0.332485"
"9","333589361981090","11.5209","2.89186","-6.54256","0","0","0","-0.160659","0.916402","-0.366601","0.304302","0.399321","0.864837","0.93893","0.0273861","-0.343018"
"9","333589378765758","10.5438","3.58156","-5.62297","0","0","0","-0.175642","0.916052","-0.360553","0.308711","0.399025","0.86341","0.934798","0.0403441","-0.352881"
"9","333589395580943","9.18356","2.54701","-5.48886","0","0","0","-0.210086","0.88865","-0.407633","0.297503","0.455273","0.839177","0.931319","0.0550277","-0.360023"
"9","333589412335094","8.39807","0.841919","-5.20148","0","0","0","-0.221898","0.886654","-0.405716","0.300638","0.45803","0.836555","0.927566","0.0636568","-0.368198"
"9","333589429180797","7.15279","0.0181122","-3.57303","0","0","0","-0.242428","0.859974","-0.449082","0.294201","0.506259","0.810647","0.924486","0.064403","-0.375736"
"9","333589445904429","6.73131","0.171387","-2.92165","0","0","0","-0.244988","0.855396","-0.456375","0.295665","0.514214","0.805088","0.923343","0.0623031","-0.378887"
"9","333589462658580","6.52057","0.362961","-2.92165","0","0","0","-0.271469","0.802919","-0.530685","0.27256","0.592954","0.757705","0.923047","0.0610495","-0.379812"
"9","333589479504283","6.23318","0.228867","-3.11322","0","0","0","-0.26148","0.82456","-0.501727","0.284032","0.562529","0.776458","0.922472","0.0605216","-0.381292"
"9","333589496288951","6.25235","-0.0776672","-3.1707","0","0","0","-0.25061","0.845968","-0.470672","0.296911","0.529922","0.794372","0.921433","0.0593298","-0.383981"
"9","333589513073619","6.63551","-0.326736","-2.73006","0","0","0","-0.243342","0.856893","-0.454443","0.305462","0.512389","0.802589","0.920585","0.0564884","-0.386434"
"9","333589529858287","6.88457","-0.556625","-2.30858","0","0","0","-0.240543","0.8559","-0.457793","0.306375","0.51448","0.800902","0.921018","0.0523952","-0.385981"
"9","333589546642955","6.88457","-1.34212","-1.94456","0","0","0","-0.206863","0.897775","-0.388855","0.325834","0.437981","0.837857","0.922518","0.0466196","-0.383127"
"9","333589563427623","6.8271","-2.20424","-1.38898","0","0","0","-0.191789","0.904078","-0.381917","0.328104","0.425814","0.843226","0.924967","0.0364131","-0.378298"
"9","333589580181773","6.99953","-1.87856","-1.02498","0","0","0","-0.167889","0.915925","-0.364548","0.331978","0.400728","0.853937","0.928226","0.0223448","-0.371345"
"9","333589596996959","7.7467","-0.978119","-0.852554","0","0","0","-0.13901","0.933965","-0.32922","0.334612","0.357194","0.872036","0.932047","0.0110608","-0.362169"
"9","333589613781627","8.35976","-0.690735","-0.948334","0","0","0","-0.125264","0.938752","-0.321019","0.327968","0.344558","0.879612","0.936347","0.0048999","-0.351041"
"9","333589630535777","8.66629","-0.805695","-1.79131","0","0","0","-0.117553","0.938616","-0.324318","0.319025","0.344964","0.882736","0.940428","0.000302733","-0.339993"
"9","333589647381480","8.35976","-0.63327","-2.99828","0","0","0","-0.111751","0.937956","-0.328252","0.314545","0.346724","0.883654","0.942642","-0.00450136","-0.333776"
"9","333589664105113","8.76208","0.0564423","-3.4006","0","0","0","-0.104461","0.942933","-0.316172","0.317393","0.332895","0.887943","0.942523","-0.00759588","-0.334055"
"9","333589680889781","9.1261","0.726974","-2.97913","0","0","0","-0.0958705","0.953188","-0.286777","0.321519","0.302315","0.897347","0.942037","-0.00617539","-0.335452"
"9","333589697674449","11.7891","0.61203","-1.48477","0","0","0","-0.113183","0.938541","-0.326084","0.312513","0.345164","0.884984","0.943146","-0.00174019","-0.332373"
"9","333589714459117","14.5287","2.85355","-0.948334","0","0","0","-0.107881","0.943031","-0.314728","0.298207","0.332693","0.894644","0.948385","0.00266055","-0.31711"
"9","333589731274303","14.9311","4.92264","-1.36983","0","0","0","-0.118775","0.940477","-0.318427","0.273139","0.339272","0.900161","0.954614","0.0199419","-0.297178"
"9","333589748028453","14.3946","3.65819","-3.70714","0","0","0","-0.151284","0.918143","-0.366233","0.24244","0.393645","0.886717","0.958299","0.0453563","-0.282147"
"9","333589764813121","13.4176","-1.51454","-6.56172","0","0","0","-0.159543","0.920839","-0.35581","0.238522","0.385705","0.891257","0.957942","0.0573251","-0.281177"
"9","333589781628306","12.498","-3.21964","-8.38176","0","0","0","-0.168819","0.89547","-0.411866","0.246737","0.442953","0.861925","0.954265","0.0438874","-0.295724"
"9","333589798382457","10.7545","-1.20801","-7.44301","0","0","0","-0.148994","0.916587","-0.371039","0.281168","0.399008","0.872775","0.948022","0.0257137","-0.317165"
"9","333589815197642","8.09155","0.324646","-6.52341","0","0","0","-0.130191","0.940386","-0.314203","0.308757","0.339596","0.88845","0.942189","0.0186552","-0.334563"
"9","333589831951793","7.80417","0.822769","-5.16316","0","0","0","-0.16735","0.903102","-0.395475","0.3095","0.428978","0.848639","0.936057","0.0196199","-0.3513"
"9","333589848736461","9.47095","0.362961","-3.07491","0","0","0","-0.18057","0.892838","-0.412595","0.31145","0.449808","0.837062","0.932949","0.0226461","-0.359296"
"9","333589865521129","12.9194","-1.34212","-5.50801","0","0","0","-0.15683","0.921795","-0.354539","0.322492","0.387101","0.863801","0.93349","0.0211338","-0.357981"
"9","333589882275279","13.7816","-1.45708","-6.08276","0","0","0","-0.152659","0.919529","-0.362163","0.327148","0.392816","0.859459","0.932561","0.0127233","-0.360789"
"9","333589899120982","12.498","-0.65242","-6.02528","0","0","0","-0.155817","0.90949","-0.38542","0.329562","0.415694","0.847695","0.931187","0.00506554","-0.364506"
"9","333589915905650","10.3139","-0.135147","-6.02528","0","0","0","-0.162464","0.900332","-0.403743","0.332432","0.435201","0.836713","0.929029","0.00171925","-0.370004"
"9","333589932690318","8.64714","-0.0393524","-5.73792","0","0","0","-0.109893","0.957613","-0.26627","0.362207","0.288054","0.886471","0.925597","0.000971747","-0.378509"
"9","333589949444469","8.03407","0.0372772","-4.47346","0","0","0","-0.144207","0.928799","-0.341375","0.359534","0.370583","0.856389","0.921922","0.000761153","-0.387376"
"9","333589966259654","7.82333","0.113907","-3.09407","0","0","0","-0.1513","0.923216","-0.353243","0.360989","0.38428","0.849715","0.920215","0.00104558","-0.391412"
"9","333589983044322","7.53595","0.0181122","-2.5768","0","0","0","-0.122638","0.950496","-0.285511","0.370513","0.310732","0.875309","0.920695","0.00156083","-0.390279"
"9","333589999828990","6.96121","-0.345886","-2.55763","0","0","0","-0.12861","0.944348","-0.302765","0.365494","0.328946","0.870751","0.921886","0.00132835","-0.38746"
"9","333590016613658","6.32898","-0.365051","-2.65343","0","0","0","-0.111055","0.957458","-0.266347","0.369874","0.288572","0.88313","0.922421","-0.000438776","-0.386187"
"9","333590033398326","6.23318","-0.0776672","-2.8067","0","0","0","-0.102146","0.963136","-0.248869","0.372878","0.269008","0.88803","0.922241","-0.0020895","-0.38661"
"9","333590050152476","6.48225","0.63118","-2.65343","0","0","0","-0.0866805","0.97362","-0.211072","0.377715","0.228169","0.897368","0.921856","-0.00194084","-0.387529"
"9","333590066967662","6.44394","1.43584","-2.53848","0","0","0","-0.136649","0.937545","-0.319899","0.362535","0.347856","0.864618","0.921898","0.00217452","-0.387427"
"9","333590083752330","6.30983","2.0489","-2.481","0","0","0","-0.129065","0.950823","-0.281563","0.364702","0.309551","0.878163","0.922136","0.010653","-0.386719"
"9","333590100475963","6.06076","2.22133","-2.32774","0","0","0","-0.163834","0.926617","-0.338436","0.350097","0.375354","0.85822","0.922275","0.02212","-0.385902"
"9","333590116741832","6.21404","1.93394","-1.98289","0","0","0","-0.175128","0.924635","-0.3382","0.34382","0.379319","0.859014","0.922561","0.0341571","-0.384337"
"9","333590134106334","7.38269","1.39752","-1.8871","0","0","0","-0.178696","0.928259","-0.326193","0.339114","0.369322","0.865218","0.923618","0.0439943","-0.380782"
